fips,county,pop_2020,dph_region,herc_region
55001,Adams,"20,498",Southern,South Central
55003,Ashland,"15,415",Northern,Northwest
55005,Barron,"45,090",Western,Northwest
55007,Bayfield,"15,242",Northern,Northwest
55009,Brown,"264,610",Northeastern,Northeast
55011,Buffalo,"13,033",Western,Western
55013,Burnett,"15,557",Western,Northwest
55015,Calumet,"50,209",Northeastern,Fox Valley Area
55017,Chippewa,"64,737",Western,Northwest
55019,Clark,"34,720",Western,North Central
55021,Columbia,"57,668",Southern,South Central
55023,Crawford,"16,021",Southern,Western
55025,Dane,"552,536",Southern,South Central
55027,Dodge,"87,336",Southern,South Central
55029,Door,"27,889",Northeastern,Northeast
55031,Douglas,"43,702",Western,Northwest
55033,Dunn,"45,452",Western,Northwest
55035,Eau Claire,"105,260",Western,Northwest
55037,Florence,"4,298",Northern,Northeast
55039,Fond du Lac,"102,902",Northeastern,Southeast
55041,Forest,"8,960",Northern,North Central
55043,Grant,"51,021",Southern,South Central
55045,Green,"36,603",Southern,South Central
55047,Green Lake,"18,908",Northeastern,Fox Valley Area
55049,Iowa,"23,640",Southern,South Central
55051,Iron,"5,698",Northern,North Central
55053,Jackson,"20,630",Western,Western 
55055,Jefferson,"85,038",Southern,South Central
55057,Juneau,"26,908",Southern,South Central
55059,Kenosha,"169,671",Southeastern,Southeast
55061,Kewaunee,"20,386",Northeastern,Northeast
55063,La Crosse,"118,502",Western,Western
55065,Lafayette,"16,646",Southern,South Central
55067,Langlade,"19,119",Northern,North Central
55069,Lincoln,"27,566",Northern,North Central
55071,Manitowoc,"78,757",Northeastern,Northeast
55073,Marathon,"135,593",Northern,North Central
55075,Marinette,"40,262",Northeastern,Northeast
55077,Marquette,"15,585",Northeastern,South Central
55078,Menominee,"4,546",Northeastern,Fox Valley Area
55079,Milwaukee,"945,016",Southeastern,Southeast
55081,Monroe,"46,582",Western,Western
55083,Oconto,"38,383",Northeastern,Northeast
55085,Oneida,"35,751",Northern,North Central
55087,Outagamie,"188,766",Northeastern,Fox Valley Area
55089,Ozaukee,"90,043",Southeastern,Southeast
55091,Pepin,"7,271",Western,Northwest
55093,Pierce,"42,700",Western,Northwest
55095,Polk,"43,794",Western,Northwest
55097,Portage,"71,032",Northern,North Central
55099,Price,"13,245",Northern,North Central
55101,Racine,"195,802",Southeastern,Southeast
55103,Richland,"17,258",Southern,South Central
55105,Rock,"163,084",Southern,South Central
55107,Rusk,"14,022",Western,Northwest
55111,Sauk,"64,449",Southern,South Central
55113,Sawyer,"16,700",Northern,Northwest
55115,Shawano,"40,786",Northeastern,Fox Valley Area
55117,Sheboygan,"115,240",Northeastern,Southeast
55109,St. Croix,"91,838",Western,Northwest
55119,Taylor,"20,318",Northern,North Central
55121,Trempealeau,"29,681",Western,Western
55123,Vernon,"30,861",Southern,Western
55125,Vilas,"22,356",Northern,North Central
55127,Walworth,"103,953",Southeastern,Southeast
55129,Washburn,"15,712",Western,Northwest
55131,Washington,"136,445",Southeastern,Southeast
55133,Waukesha,"406,172",Southeastern,Southeast
55135,Waupaca,"50,664",Northeastern,Fox Valley Area
55137,Waushara,"24,326",Northeastern,Fox Valley Area
55139,Winnebago,"171,631",Northeastern,Fox Valley Area
55141,Wood,"72,560",Northern,North Central
